WebCrawler start at site http://bio.acousti.ca/ and maxDepth = 1
====== START ======

===== DEPTH 0 ======
[URL=http://bio.acousti.ca/, depth=0]

===== DEPTH 1 ======
[URL=http://bio.acousti.ca/user/register, depth=1]
[URL=http://openid.net/, depth=1]
[URL=http://bio.acousti.ca/user, depth=1]
[URL=http://bio.acousti.ca/zh-hans, depth=1]
[URL=http://bio.acousti.ca/content/about-bioacoustica, depth=1]
[URL=http://bio.acousti.ca/contact/1, depth=1]
[URL=http://bio.acousti.ca/file/4862, depth=1]
[URL=http://bio.acousti.ca/file/4863, depth=1]
[URL=http://bio.acousti.ca/file/4864, depth=1]
[URL=http://bio.acousti.ca/file/4865, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-social-calls-1, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-social-calls, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-social-calls-0, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-search-phase-7, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-search-phase-6, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-search-phase-5, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-search-phase-4, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-search-phase-3, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-search-phase-1, depth=1]
[URL=http://bio.acousti.ca/content/promops-centralis-search-phase-2, depth=1]
[URL=http://bio.acousti.ca/content/disease-influences-male-advertisement-and-mating-outcomes-critically-endangered-amphibian, depth=1]
[URL=http://bio.acousti.ca/content/new-look-universals-and-specificities-songs-humpback-whales, depth=1]
[URL=http://bio.acousti.ca/content/effect-anthropogenic-noise-reef-macroinvertebrates-lambis-lambis-and-tridacna-maxima, depth=1]
[URL=http://bio.acousti.ca/content/similarities-composition-and-transformations-songs-humpback-whales-megaptera-novaeangliae, depth=1]
[URL=http://bio.acousti.ca/content/advertisement-calls-lesser-spiny-frog-quasipaa-exilispinosa-liu-and-hu-1975-anura, depth=1]
[URL=http://bio.acousti.ca/project/external-repository-copies, depth=1]
[URL=http://bio.acousti.ca/project/frederick-w-edwards-annual-lectures, depth=1]
[URL=http://bio.acousti.ca/project/freshwater-acoustics, depth=1]
[URL=http://dx.doi.org/10.1093/database/bav054, depth=1]
[URL=http://bio.acousti.ca/blog, depth=1]
[URL=http://bio.acousti.ca/classification/insecta, depth=1]
[URL=http://bio.acousti.ca/map, depth=1]
[URL=http://bio.acousti.ca/analyses, depth=1]
[URL=http://bio.acousti.ca/content/why-use-bioacoustica, depth=1]
[URL=http://bio.acousti.ca/biblio, depth=1]
[URL=http://bio.acousti.ca/collection, depth=1]
[URL=http://bio.acousti.ca/classification/9, depth=1]
[URL=http://bio.acousti.ca/content/podcasts, depth=1]
[URL=http://bio.acousti.ca/resources, depth=1]
[URL=http://bio.acousti.ca/glossary, depth=1]
[URL=http://bio.acousti.ca/interactions, depth=1]
[URL=http://bio.acousti.ca/video, depth=1]
[URL=http://scratchpads.eu/about/policies, depth=1]
[URL=http://bio.acousti.ca/rss.xml, depth=1]
[URL=http://vbrant.eu/, depth=1]
[URL=http://simon.rycroft.name/, depth=1]
[URL=http://bio.acousti.ca/onomatopoeia_or_imitation, depth=1]
[URL=http://www.benscott.co.uk/, depth=1]
[URL=http://vsmith.info/, depth=1]

====== END ======
Time elapsed: 3.022
Total visited sites: 49
